custom_fields[pid],category,subcategory,group
6ES7132-4BB01-0AA0,PLC,Distributed I/O,I/O Module
6ES7132-4HB01-0AB0,PLC,Distributed I/O,I/O Module
6ES7131-4BB01-0AB0,PLC,Distributed I/O,I/O Module
6ES7131-4BD01-0AB0,PLC,Distributed I/O,I/O Module
6ES7131-4BD01-0AA0,PLC,Distributed I/O,I/O Module
6ES7142-4BD00-0AB0,PLC,Distributed I/O,I/O Module
6ES7141-4BF00-0AB0,PLC,Distributed I/O,I/O Module
6ES7138-4DF11-0AB0,PLC,Distributed I/O,Function Module
6ES7138-4DF01-0AB0,PLC,Distributed I/O,Function Module
6ES7138-4DE02-0AB0,PLC,Distributed I/O,Function Module
6ES7138-4DA04-0AB0,PLC,Distributed I/O,Function Module
6ES7138-4DL00-0AB0,PLC,Distributed I/O,Function Module
6ES7138-4HA00-0AB0,PLC,Distributed I/O,CPU
6ES7151-1CA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7131-4FB00-0AB0,PLC,Distributed I/O,I/O Module
6ES7131-4EB00-0AB0,PLC,Distributed I/O,I/O Module
6ES7153-1AA03-0XB0,PLC,Distributed I/O,Communication Module
6AV6646-1BA22-1NA0,PLC,HMI,Touch Screen
6AV6646-1BA18-0NA0,PLC,HMI,Touch Screen
6AV6646-1BA15-0NA0,PLC,HMI,Touch Screen
6AV7466-8MA10-0AA0,PLC,HMI,Touch Screen
6AV7863-6MA10-1NA0,PLC,HMI,Touch Screen
6AV7863-5MA10-1NA0,PLC,HMI,Touch Screen
6DD1682-0CH3,PLC,PLC Hardware,PLC Accessories
6DD1600-0BB0,PLC,PLC Hardware,CPU
6DD1660-0BJ0,PLC,PLC Hardware,PLC Accessories
6DD1607-0GA0,PLC,PLC Hardware,Function Module
6DD1661-0AD1,PLC,PLC Hardware,Communication Module
6DD1607-0AA2,PLC,PLC Hardware,Function Module
6DD1661-0AE1,PLC,PLC Hardware,Communication Module
6DD1607-0EA2,PLC,PLC Hardware,Function Module
6DD1681-0DH1,PLC,PLC Hardware,Communication Module
6DD1681-0AJ1,PLC,PLC Hardware,Communication Module
6DD1681-0AG2,PLC,PLC Hardware,Communication Module
6DD1681-0AF4,PLC,PLC Hardware,Communication Module
6DD1681-0AE2,PLC,PLC Hardware,Communication Module
6DD1660-0BG0,PLC,PLC Hardware,Communication Module
6DD1660-0BF0,PLC,PLC Hardware,Communication Module
6DD1684-0GD0,PLC,Cable & Wire,Industrial Cable
6DD1684-0GC0,PLC,Cable & Wire,Industrial Cable
6DD1640-0AH0,PLC,PLC Hardware,I/O Module
6DD1607-0CA1,PLC,PLC Hardware,Function Module
6DD1681-0GK0,PLC,PLC Hardware,Communication Module
6AU1432-2AA00-0AA0,PLC,Servo Drives,nan
6AU1820-8BD20-0AB0,PLC,Software,Device & Network Configuration
6AU1820-8BA20-0AB0,PLC,Software,Device & Network Configuration
6AU1820-8BB20-0AB0,PLC,Software,Device & Network Configuration
